location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20201206T0000,3.4605286,88.0,9.931042,136.4688
20201206T0100,3.3805285,87.0,10.44,133.60281
20201206T0200,3.0005286,88.0,9.504272,142.69604
20201206T0300,3.4605286,82.0,6.638072,130.60129
20201206T0400,3.5405285,79.0,5.0142193,111.03751
20201206T0500,3.3405285,81.0,4.6800003,112.61986
20201206T0600,2.5005286,88.0,2.9024127,82.874985
20201206T0700,1.6905286,92.0,3.6179552,95.71059
20201206T0800,1.2705287,94.0,5.1544156,102.09476
20201206T0900,1.9205287,91.0,2.9024127,97.125015
20201206T1000,3.5005286,87.0,7.145796,130.91438
20201206T1100,5.4205284,75.0,10.587917,107.818886
20201206T1200,5.5705285,75.0,15.192682,103.70696
20201206T1300,5.7605286,81.0,6.0347,287.35403
20201206T1400,6.4705286,75.0,8.089993,290.85446
20201206T1500,6.6105285,72.0,8.435069,309.80557
20201206T1600,6.6405287,72.0,4.452954,345.96375
20201206T1700,6.2005286,78.0,4.198285,30.963745
20201206T1800,5.6805286,86.0,1.08,360.0
20201206T1900,5.1105285,90.0,4.8433046,311.98724
20201206T2000,4.8005285,90.0,7.7043357,307.40536
20201206T2100,4.6605287,91.0,5.0911684,278.1301
20201206T2200,4.6805286,90.0,11.183201,266.30862
20201206T2300,4.2605286,85.0,17.698677,265.33313
20201207T0000,3.4605286,87.0,18.36353,268.8767
20201207T0100,3.0205286,89.0,17.373497,264.05313
20201207T0200,2.9605286,90.0,16.595179,257.4712
20201207T0300,2.5305285,90.0,14.973577,242.8189
20201207T0400,2.8605285,89.0,15.315873,246.44774
20201207T0500,4.000529,84.0,11.019764,231.63252
20201207T0600,4.0805287,82.0,12.096214,233.47115
20201207T0700,4.2005286,82.0,8.669949,221.63354
20201207T0800,4.4605284,81.0,7.8954163,226.84761
20201207T0900,4.8405285,81.0,4.1046314,232.12502
20201207T1000,5.8505287,76.0,8.311245,265.03027
20201207T1100,6.2705283,69.0,11.879999,270.0
20201207T1200,6.7005286,68.0,7.9932976,277.76517
20201207T1300,6.2305284,69.0,3.396233,327.99463
20201207T1400,6.0605288,71.0,4.39436,55.007973
20201207T1500,5.9205284,73.0,5.8603754,79.38034
20201207T1600,5.6505284,74.0,5.771239,86.42367
20201207T1700,5.2605286,76.0,8.669949,94.76365
20201207T1800,3.6705287,84.0,12.413477,119.53878
20201207T1900,2.4005284,85.0,14.186923,125.70669
20201207T2000,1.6305287,87.0,13.608762,127.47618
20201207T2100,1.4905287,90.0,14.88242,122.15229
20201207T2200,0.67052865,89.0,17.974781,122.73523
20201207T2300,0.45052865,91.0,17.174677,123.023865
20201208T0000,0.44052866,92.0,16.575644,124.38034
20201208T0100,0.81052864,90.0,17.906157,120.173515
20201208T0200,0.9605287,87.0,21.26744,123.95906
20201208T0300,0.38052866,88.0,20.172853,124.82449
20201208T0400,0.31052867,85.0,19.734436,128.33334
20201208T0500,0.47052866,82.0,17.283749,125.67641
20201208T0600,-0.07947134,83.0,14.186923,125.70669
20201208T0700,0.6905287,78.0,10.948973,117.40757
20201208T0800,0.9505287,76.0,6.763786,115.20112
20201208T0900,1.1205287,75.0,10.630672,118.30075
20201208T1000,2.0205286,71.0,10.483357,105.9454
20201208T1100,3.6805286,68.0,3.9763298,84.805565
20201208T1200,4.040529,69.0,11.753877,332.65015
20201208T1300,6.2205286,52.0,11.177405,104.93142
20201208T1400,6.7305284,50.0,9.0,106.2602
20201208T1500,6.9205284,51.0,4.896529,107.10272
20201208T1600,6.6205287,53.0,1.4399999,89.99999
20201208T1700,6.0305285,55.0,6.151683,339.44397
20201208T1800,4.540529,67.0,6.5693827,350.5377
20201208T1900,3.6905286,75.0,5.00128,300.25644
20201208T2000,3.2905285,74.0,7.5599995,270.0
20201208T2100,3.3305285,74.0,9.114471,279.09027
20201208T2200,2.9305286,79.0,10.636766,293.9625
20201208T2300,2.5005286,82.0,11.113451,294.90475
20201209T0000,2.6905286,81.0,11.113451,294.90475
20201209T0100,3.0005286,79.0,9.19939,300.57922
20201209T0200,3.1505284,80.0,6.792466,302.00537
20201209T0300,3.1705287,83.0,6.924738,278.97263
20201209T0400,2.8305285,88.0,12.261158,266.63354
20201209T0500,2.1105285,87.0,15.84409,268.69806
20201209T0600,1.6405287,91.0,16.563911,271.24536
